username,full_name,follows_you,you_follow,followers,following,posts,has_profile_pic,is_verified,risk_score,risk_reasons,inactive,tag,recommended_action
zoeynoblemusic,"Zoey 𓏲ּ𝄢",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
flexallday_,"Flex All Day",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
saad.ali824,"Saad Ali",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
seemomclick,"Lindsay Frank",yes,no,0,0,0,yes,yes,5,"no posts; only 0 followers; no bio",yes,real_audience,KEEP
jitusainijeet,"Jitu Saini Jeet",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
hasanilgnnn,"Hasan İlgün",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jorumney,"Joanne Rumney Mansfield",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
romdee321,"romdee321",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jenvolt,"Jen Macnabb-Voltolina",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
lancasterloop,"lancasterloop",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
_melaniee.xo_,"Melanie Alvarez",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
coco.kid,"QD",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jackie.eberle,"jack",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
lpearson89,"Lindsay Cook",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
dhhpanelproducts,"DHH Panel Products",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
stonecraft_poolsandpatios,"StoneCraft Pools & Patios",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
patrickbanksjr,"Patrick Banks Jr.",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
madelinecreative,"Madeline Creative",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
codyoakley14,"Cody Oakley",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
fares_eddin555,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
mitch_johnson,"Mitch Johnson",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
shandseye,"Shand",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
hoofbabyhoofbaby,"Hoof Baby",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jojotatum8,"Jo Jo Tatum",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
bsryan82,"Brandon Ryan",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
emmakrm,"Emma Kaur",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
janemarieshay,"Jane Marie Shay",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
alyson_hagy,"Alyson Hagy",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jodicalendar,"Jodi C.",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
fruity__galaxies,"𝕮𝖆𝖒𝖎𝖑𝖑𝖊 𝕾𝖒𝖎𝖘𝖍",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
libran_lauren,"Libran Lauren",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
stumpyshershey,"Stumpy's Hatchet House Hershey",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
installamericadenj,"Install America Delaware/New Jersey",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
bmwgate,"BMWgate",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
galacticempireofficial,"Galactic Empire",yes,no,0,0,0,yes,yes,5,"no posts; only 0 followers; no bio",yes,real_audience,KEEP
stoltzfus.jonas,"Jonas Stoltzfus",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
effektiv_people,"Effekt!v people",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
all_asphalt_servicesinc,"All Asphalt Services  Inc.",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
the.rainwater.4,"Andrea Rainwater",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
willhalcomb,"Will Halcomb",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
buildingpapodcast,"Building PA Podcast",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
ctc4success,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
printingmachineparts,"Printing Machine Parts",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
kbrunner14,"Katie Brunner",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
beatsandfocus,"Beats and Focus",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
rosim,"",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
rogerandlorraine,"Roger",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
potteryladykatie,"Katie Guenther",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jerrysmithmusic,"Jerry Smith Music",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
jen.koh.35,"Jen Koh",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
meepmeepmeepmeep4,"Megan",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
heatherandcompany,"Heather & Company",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
drthompsonpdc,"Dr. Thompson",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
tgermaine_official,"Tanya Germaine",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
trekloaded,"Trek Loaded",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
neff.furniture.pa,"Neff Furniture",yes,no,0,0,0,yes,no,5,"no posts; only 0 followers; no bio",yes,spam,REVIEW
